manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
percepcja ;; proces interpretacji i odbioru bodźców zewnętrznych, takich jak dźwięki, obrazy czy bodźce dotykowe, przez organizm.
demon ;; istota lub duch złośliwy lub złowrogi związany z mitologią, religią lub folklorem, często kojarzony z szkodliwymi lub destrukcyjnymi działaniami.
piątek ;; szósty dzień tygodnia według kalendarza gregoriańskiego, występujący po czwartku i przed sobotą.
malarka ;; osoba wykonująca malarstwo, czyli zajmująca się malowaniem obrazów.
zaciekawienie ;; stan emocjonalny, w którym osoba czuje ciekawość lub zainteresowanie czymś. może być wywołane nowymi informacjami, sytuacjami lub doświadczeniami.
męczeństwo ;; dobrowolne przyjęcie cierpień lub śmierci z powodu wiary religijnej lub za przekonania polityczne.
recenzent ;; osobą, która ocenia i opiniuje dzieła artystyczne, literackie, naukowe lub techniczne, przedstawiając swoje wnioski i spostrzeżenia.
pragnienie ;; silne uczucie lub chęć posiadania lub doświadczania czegoś.
antidotum ;; substancja lub środek, który neutralizuje lub przeciwdziała działaniu trucizny lub jadu.
zniecierpliwienie ;; stan emocjonalny charakteryzujący się brakiem cierpliwości, niezdolnością do spokojnego oczekiwania na coś lub kogoś.
analogia ;; sposób argumentacji polegający na wyciąganiu wniosków na podstawie podobieństw między dwoma różnymi zjawiskami lub sytuacjami.
rękojeść ;; element wyposażenia lub część przedmiotu służąca do trzymania lub przenoszenia.
robienie ;; czynność polegająca na wykonywaniu określonych czynności w celu osiągnięcia konkretnego rezultatu.
propozycja ;; sugestia lub propozycja przedstawiona komuś w celu rozważenia lub zaakceptowania.
produkcja ;; proces wytwarzania dóbr lub usług przez wykorzystanie zasobów i technologii w celu zaspokojenia potrzeb społeczeństwa.
przetrzymywanie ;; zatrzymywanie kogoś lub czegoś w miejscu lub sytuacji przeciwko ich woli.
przyzwolenie ;; zgoda lub akceptacja na coś, wyrażona przez osobę lub instytucję.
szybka ;; oznacza wykonującą się lub poruszającą się z dużą prędkością, w krótkim czasie lub bez zwłoki.
cięcie ;; akcja polegająca na przecięciu lub odcięciu czegoś, zarówno w sensie dosłownym (np. cięcie nożem), jak i w przenośni (np. cięcie kosztów).
dyżur ;; określony czas, w trakcie którego osoba (np. lekarz, strażak, pielęgniarka) pozostaje do dyspozycji w swoim miejscu pracy w celu udzielenia pomocy lub obsługi klientów.
monarcha ;; władca panujący w państwie, zazwyczaj dziedziczny i sprawujący najwyższą władzę.
podczerwień ;; rodzaj promieniowania elektromagnetycznego o niższej częstotliwości niż widzialne światło, leżący pomiędzy światłem widzialnym a mikrofalami.
getry ;; długie, przylegające do ciała skarpetki lub rajstopy noszone głównie przez kobiety, często ozdobione wzorami lub koronką.
prawnuk ;; termin określający potomka, który jest dzieckiem wnuka bądź wnuczki.
ubój ;; proces zabijania zwierząt przeznaczonych do spożycia, zwykle w celu pozyskania mięsa.
postanowienie ;; świadoma decyzja lub rezolucja podjęta przez jednostkę w celu osiągnięcia określonego celu lub zmiany postępowania.
jutro ;; termin określający dzień następujący po obecnym dniu.
wojsko ;; zorganizowana grupa ludzi, mająca na celu obronę kraju, utrzymanie pokoju i bezpieczeństwa oraz wykonywanie zadań związanych z obroną narodową.
koza ;; roślinożerne zwierzę hodowlane, charakteryzujące się zazwyczaj rogami i futrem.
perła ;; twardy, błyszczący i gładki kamień szlachetny powstający w organizmach niektórych mięczaków, zwłaszcza małży, w wyniku osadzania warstw nacre na zainicjowanym ciele obcego ciała.
gar ;; rodzaj ozdoby w postaci naszyjnika, przyozdoby na szyję wykonanej z kilku rzędów koralików, kamieni szlachetnych lub innych ozdób.
pomost ;; konstrukcja służąca do połączenia dwóch miejsc znajdujących się nad wodą lub przepaścią.
ładowność ;; maksymalna masa jaką dany pojazd lub statek jest w stanie przetransportować.
mistrzostwo ;; doskonała umiejętność lub zdolność w określonej dziedzinie, osiągnięta poprzez ciężką pracę, determinację i doświadczenie.
czasomierz ;; urządzenie służące do mierzenia czasu lub określania interwałów czasowych.
kompleks ;; zespół powiązanych ze sobą cech, uczuć, czy myśli, które mają wpływ na zachowanie jednostki w określonych sytuacjach.
barak ;; prosty, zazwyczaj drewniany budynek, służący jako tymczasowe schronienie lub magazyn.
ładunek ;; ilość substancji, materiału lub energii przenoszona przez dany obiekt.
dzik ;; zwierzę żyjące na wolności, często niedomestykowane.
urna ;; uma to naczynie lub pojemnik, zwykle wykonane ze skóry, ceramiki lub metalu, służące do przechowywania popiołów zmarłych.
wydruk ;; ""drukowany dokument lub koperta zawierająca treść informacyjną.""
kontekst ;; zbiór informacji otaczających dany obiekt, zjawisko lub sytuację, mających wpływ na jego zrozumienie i interpretację.
proroctwo ;; prorocze przepowiedzenie lub zapowiedź zdarzenia przyszłego, często uznawane za boskie objawienie.
chemik ;; specjalista zajmujący się nauką o składzie, budowie, przemianach i właściwościach substancji chemicznych.
piła ;; narzędzie stosowane do cięcia różnych materiałów poprzez ruch tnący wykonywany przez ząbkowany brzeg stalowej taśmy lub tarczy.
ważność ;; określenie stopnia istotności, znaczenia lub ważenia czegoś w danym kontekście.
chlebek ;; mały bochenek chleba o okrągłym lub wydłużonym kształcie, często pieczony w formie. może być również nazwą dla małego pieczywa w kształcie bułki.
wspomnienie ;; świadome upamiętnienie i przywołanie przeżyć, doświadczeń lub sytuacji z przeszłości.
kratka ;; regularny wzór wykonany z równoległych linii krzyżujących się pod kątem prostym, tworzący siatkę geometryczną.
inwencja ;; zdolność twórczego myślenia oraz generowania nowatorskich pomysłów i rozwiązań.
lekceważenie ;; ignorowanie lub bagatelizowanie czegoś, niedocenianie jego wagi lub znaczenia.
bitwa ;; starcie zbrojne pomiędzy dwiema lub więcej stronami, mające na celu rozstrzygnięcie konfliktu siłami militarnymi.
brzeg ;; granica pomiędzy lądem a wodą lub obszarem przyległym, zazwyczaj charakteryzująca się widoczną zmianą struktury terenu.
wykładowca ;; osoba nauczająca studentów w szkole wyższej lub na kursach.
odśnieżanie ;; proces usuwania śniegu z powierzchni ziemi, często wykonywany za pomocą specjalistycznego sprzętu lub ręcznie.
koncepcja ;; abstrakcyjny pomysł lub plan działania, będący wynikiem myślenia lub twórczej pracy.
ordynacja ;; ustalony porządek, reguły lub procedury, które określają sposób działania w określonej dziedzinie, np. procedury wyborcze w ustroju państwa.
zad ;; skrót od słowa zadanie, określający konkretne zadanie do wykonania bądź problem do rozwiązania.
okupant ;; osoba, grupa lub naród, który zajmuje terytorium innego państwa siłą lub w wyniku działań wojennych, naruszając w ten sposób suwerenność tego kraju.
śmigłowiec ;; rodzaj latającego środka transportu wyposażonego w wirnik umożliwiający pionowy start i lądowanie oraz lot w miejscu.
coach ;; profesjonalnym trenerem lub doradcą, który wspiera i motywuje klientów w osiąganiu ich celów osobistych lub zawodowych.
instruktorka ;; kobieta, która prowadzi zajęcia szkoleniowe lub instruktażowe w danej dziedzinie.
święty ;; osoba uznawana za szczególnie bliską bogu, posiadająca cechy moralne lub duchowe będące wzorem do naśladowania.
mądrość ;; umiejętność rozumienia życia oraz podejmowania trafnych i rozważnych decyzji opartych na wiedzy i doświadczeniu.
skip ;; czasownik oznaczający pominięcie czegoś, przejście do następnego punktu bez uczestniczenia w tym, co zostało pominięte.
ogrom ;; pojęcie określające bardzo dużą wielkość, objętość lub ilość czegoś.
recital ;; publiczne wykonanie utworów muzycznych, literackich lub innych form sztuki przez jednego wykonawcę lub grupę artystów.
polewa ;; sos lub sosik przelewany na danie w celu udekorowania lub dodania dodatkowego smaku.
luteranizm ;; nurt chrześcijaństwa wywodzący się z reformacji, który jest oparty na nauczaniu i tradycjach marcina lutra.
wschód ;; kierunek, w którym słońce wynurza się na wschodzie horyzontu o poranku.
armia ;; zorganizowana grupa ludzi, przeznaczona do obrony kraju, przeprowadzania działań wojennych lub utrzymania porządku publicznego.
ściąga ;; oznacza notatkę lub kartkę zawierającą podpowiedzi lub odpowiedzi, używaną nielegalnie podczas egzaminu lub testu.
cruiser ;; rodzaj dużego, morskiego statku przeznaczonego głównie do rekreacyjnych podróży oraz patroli wodnych.
zgromadzenie ;; grupa osób lub rzeczy gromadzących się w jednym miejscu w określonym celu lub w określonym czasie.
węch ;; zmysł pozwalający zwierzętom i ludziom odczuwać i rozpoznawać zapachy.
klinik ;; jednostka medyczna, która zajmuje się diagnostyką, leczeniem oraz badaniami pacjentów w określonej dziedzinie medycyny.
dół ;; przestrzeń znajdująca się poniżej poziomu gruntu lub pewnego punktu odniesienia.
dźwig ;; urządzenie służące do podnoszenia oraz przenoszenia ciężkich przedmiotów, składające się z ramy, mechanizmu podnoszenia i haka lub końcówki przeznaczonej do chwytania ładunku.
zajezdnia ;; miejsce, gdzie przechowywane i serwisowane są pojazdy komunikacji miejskiej, takie jak autobusy czy tramwaje. ."
złagodzenie ;; proces polegający na zmniejszaniu siły, intensywności lub surowości czegoś, tak aby było mniej dotkliwe lub szkodliwe.
elementarz ;; podręcznik używany do nauki czytania, pisania i liczenia, przeznaczony głównie dla dzieci w wieku szkolnym.
mechanika ;; dział fizyki zajmujący się badaniem ruchu i oddziaływań ciał materialnych pod wpływem sił.
ochroniarz ;; osoba odpowiedzialna za zapewnienie bezpieczeństwa i ochrony, najczęściej na terenie obiektu czy imprezy.
ropucha ;; gatunek płaza z rzędu płazów bezogonowych.
paleta ;; płaska platforma z uchwytami na bokach służąca do przenoszenia, układania lub przechowywania przedmiotów.
złotogłów ;; inaczej rodzaj ptaka z rodziny srokate.
zaległość ;; nieuregulowana lub niezrealizowana sprawa, zadłużenie lub opóźnienie w wykonaniu czegoś zgodnie z planem lub harmonogramem.
posłaniec ;; osoba lub istota, która ma za zadanie przekazanie wiadomości, informacji lub komunikatu od nadawcy do adresata.
sprawność ;; zdolność do efektywnego wykonywania zadań lub aktywności, będąca rezultatem wysokiej wydajności i minimalnego zużycia zasobów.
dewiza ;; krótkie, zwięzłe zdanie lub motto, które stanowi główne przesłanie lub ideał danej osoby, grupy czy instytucji.
szambo ;; zbiornik służący do gromadzenia nieczystości, takich jak ścieki, fekalia czy resztki organiczne, pochodzące z domów czy innych budynków.
pseudonim ;; fikcyjne imię lub ksywa używana przez osobę w celu zachowania anonimowości lub odróżnienia się od innych.
bohaterka ;; główna postać w dziele literackim, filmie, czy historii, wyróżniająca się odwagą, siłą charakteru, poświęceniem lub innymi pozytywnymi cechami, która odgrywa kluczową rolę w rozwoju fabuły.
papiestwo ;; urząd papieża, głowy kościoła katolickiego oraz najwyższego autorytetu w tej wspólnocie religijnej.
leasing ;; umowa finansowa, w ramach której jedna strona (wynajmujący) udostępnia drugiej stronie (najemcy) określony majątek, przy czym najemca jest zobowiązany do regularnego uiszczania wpłat za korzystanie z tego majątku przez określony okres czasu.
ląd ;; suchą częścią powierzchni ziemi niezależną od akwenów wodnych.
włamanie ;; nieuprawnione i bezprawne wtargnięcie na czyjeś tereny lub do cudzego pomieszczenia w celu kradzieży lub popełnienia innych przestępstw.
pijak ;; potoczne określenie osoby nadużywającej alkoholu.
pilotaż ;; proces testowania, badania lub wdrażania konkretnego rozwiązania, pomysłu lub projektu w praktyce.
karma ;; koncepcja związana z hinduizmem, buddyzmem i dżinizmem, mówiąca o zależności między działaniami jednostki a ich konsekwencjami w obecnym lub przyszłym życiu.
historyk ;; osoba zajmująca się badaniem i interpretacją przeszłości na podstawie dostępnych źródeł historycznych. może zajmować się różnymi epokami, wydarzeniami lub postaciami historycznymi.
imitacja ;; naśladowanie lub próba odtworzenia zachowania, stylu, charakterystyk lub cech innych osób lub rzeczy.
szal ;; dodatek do ubioru zakładany na szyję lub ramiona, mający różne kształty, wzory i materiały.
masa ;; wielkością fizyczną, która opisuje ilość materii zawartej w ciele oraz wpływ ciała na otoczenie poprzez oddziaływanie grawitacyjne.
intelekt ;; zdolność myślenia, rozumowania i analizy, która obejmuje procesy poznawcze i umiejętność logicznego myślenia.
średniowiecze ;; okres w historii europy trwający od v do xv wieku, charakteryzujący się dominacją feudalizmu, chrześcijaństwa i rozwojem miast.
bandyta ;; osoba, która popełnia przestępstwa lub działania sprzeczne z prawem.
zakaz ;; wyraźny zakaz lub ograniczenie na wykonywanie określonej czynności.
odnowa ;; proces przywracania lub przywrócenia czegoś do stanu pierwotnego lub lepszego po okresie zaniedbania, zmęczenia lub degeneracji.
biczowanie ;; forma surowej kary fizycznej polegająca na uderzaniu osobę ciele biczem lub batem.
hala ;; przestronne pomieszczenie o dużej powierzchni, często wykorzystywane do organizacji wydarzeń, zawierającego otwartą przestrzeń i odpowiednią ilość miejsc do siedzenia lub stania.
